Z,Pressure,Grip Angle,Timestamp,Test ID,X Displacement,Y Displacement,Distance
0,15,1440,1351716,0,0,0,0
0,47,1440,1351725,0,0,0,0
0,68,1440,1351734,0,0,0,0
0,84,1420,1351743,0,0,0,0
0,88,1440,1351752,0,1,0,1
0,97,1430,1351761,0,0,0,0
0,123,1440,1351770,0,0,0,0
0,148,1450,1351779,0,0,1,1
0,175,1430,1351788,0,0,0,0
0,207,1440,1351797,0,0,0,0
0,236,1450,1351806,0,0,0,0
0,272,1450,1351815,0,0,0,0
0,304,1450,1351824,0,0,0,0
0,327,1430,1351833,0,0,0,0
0,355,1430,1351842,0,0,0,0
0,381,1430,1351851,0,0,0,0
0,405,1430,1351860,0,0,0,0
0,429,1440,1351869,0,0,0,0
0,446,1420,1351878,0,0,0,0
0,465,1420,1351887,0,0,0,0
0,482,1420,1351896,0,0,0,0
0,488,1420,1351905,0,0,0,0
0,505,1430,1351914,0,0,0,0
0,517,1430,1351923,0,0,0,0
0,525,1440,1351932,0,0,0,0
0,542,1440,1351941,0,0,0,0
0,553,1440,1351950,0,0,0,0
0,561,1440,1351959,0,0,1,1
0,580,1440,1351968,0,0,0,0
0,590,1440,1351977,0,1,0,1
0,602,1430,1351986,0,0,0,0
0,610,1450,1351995,0,0,0,0
0,611,1440,1352004,0,0,0,0
0,620,1440,1352013,0,0,0,0
0,623,1450,1352022,0,0,0,0
0,620,1440,1352031,0,0,0,0
0,625,1440,1352040,0,0,0,0
0,625,1440,1352049,0,1,0,1
0,620,1440,1352058,0,0,0,0
0,623,1440,1352067,0,0,1,1
0,624,1430,1352076,0,1,0,1
0,623,1450,1352085,0,0,0,0
0,629,1430,1352094,0,0,1,1
0,627,1440,1352103,0,1,0,1
0,629,1430,1352112,0,0,0,0
0,635,1430,1352121,0,0,1,1
0,632,1420,1352130,0,0,0,0
0,638,1420,1352139,0,0,0,0
0,641,1430,1352148,0,1,0,1
0,638,1420,1352157,0,0,1,1
0,640,1420,1352166,0,0,0,0
12,645,1430,1352175,0,0,1,1
12,655,1430,1352184,0,0,0,0
0,651,1430,1352193,0,0,0,0
12,648,1430,1352202,0,0,1,1
0,650,1430,1352211,0,0,0,0
0,654,1420,1352220,0,0,0,0
12,647,1420,1352229,0,0,1,1
0,652,1410,1352238,0,0,0,0
0,655,1420,1352247,0,0,0,0
0,653,1430,1352256,0,0,0,0
0,661,1430,1352265,0,0,1,1
0,664,1430,1352274,0,0,0,0
0,665,1430,1352283,0,0,0,0
0,672,1430,1352292,0,0,1,1
0,671,1430,1352301,0,0,0,0
0,672,1430,1352310,0,0,0,0
0,680,1410,1352319,0,0,0,0
0,672,1420,1352328,0,0,1,1
0,680,1420,1352337,0,0,0,0
0,684,1420,1352346,0,0,0,0
0,682,1420,1352355,0,0,1,1
0,690,1420,1352364,0,0,0,0
0,693,1410,1352373,0,1,0,1
0,695,1420,1352382,0,0,1,1
0,702,1420,1352391,0,0,0,0
0,702,1420,1352400,0,0,0,0
0,705,1440,1352409,0,0,0,0
0,711,1450,1352418,0,1,1,0
0,705,1440,1352427,0,0,0,0
0,711,1450,1352436,0,0,1,1
0,715,1450,1352445,0,1,0,1
0,711,1460,1352454,0,0,0,0
0,716,1450,1352463,0,1,1,0
0,717,1450,1352472,0,0,0,0
0,716,1450,1352481,0,1,0,1
0,723,1450,1352490,0,0,1,1
0,723,1450,1352499,0,1,0,1
0,726,1450,1352508,0,0,0,0
0,732,1450,1352517,0,1,1,0
0,731,1450,1352526,0,1,0,1
0,739,1450,1352535,0,0,0,0
0,745,1430,1352544,0,1,0,1
0,742,1420,1352553,0,1,1,0
0,747,1440,1352562,0,1,0,1
0,749,1460,1352571,0,1,0,1
0,748,1460,1352580,0,1,0,1
0,752,1490,1352589,0,1,0,1
0,750,1480,1352598,0,0,0,0
0,753,1500,1352607,0,1,1,0
0,757,1500,1352616,0,1,0,1
0,753,1500,1352625,0,1,0,1
0,759,1530,1352634,0,1,0,1
0,761,1540,1352643,0,1,0,1
0,756,1570,1352652,0,1,0,1
0,759,1570,1352661,0,0,0,0
0,759,1590,1352670,0,1,0,1
0,757,1590,1352679,0,1,0,1
0,761,1580,1352688,0,0,0,0
0,759,1580,1352697,0,1,0,1
0,760,1580,1352706,0,1,1,0
0,763,1580,1352715,0,0,0,0
0,760,1580,1352724,0,1,0,1
0,765,1590,1352733,0,1,0,1
0,770,1590,1352742,0,0,0,0
0,762,1590,1352751,0,1,0,1
0,769,1570,1352760,0,0,0,0
0,772,1570,1352769,0,1,0,1
0,769,1580,1352778,0,0,0,0
0,776,1570,1352787,0,1,0,1
0,776,1580,1352796,0,1,0,1
0,775,1580,1352806,0,0,0,0
0,781,1570,1352815,0,1,0,1
0,779,1570,1352824,0,0,0,0
0,783,1570,1352833,0,1,1,0
0,789,1570,1352842,0,1,0,1
0,782,1570,1352851,0,1,0,1
0,788,1570,1352860,0,0,0,0
0,792,1570,1352869,0,1,1,0
0,786,1570,1352878,0,1,0,1
0,792,1570,1352887,0,0,0,0
0,785,1570,1352896,0,1,0,1
0,792,1570,1352905,0,1,1,0
0,800,1570,1352914,0,0,0,0
0,799,1580,1352923,0,0,0,0
0,801,1590,1352932,0,1,0,1
0,809,1590,1352941,0,0,0,0
0,802,1570,1352950,0,1,1,0
0,807,1570,1352959,0,1,0,1
0,812,1580,1352968,0,0,1,1
0,808,1580,1352977,0,1,0,1
0,812,1580,1352986,0,1,0,1
0,812,1570,1352995,0,0,1,1
0,813,1570,1353004,0,1,0,1
0,818,1570,1353013,0,0,1,1
0,821,1570,1353022,0,1,0,1
0,825,1560,1353031,0,0,1,1
0,833,1560,1353040,0,1,0,1
0,827,1560,1353049,0,0,0,0
0,835,1570,1353058,0,0,1,1
0,841,1570,1353067,0,1,0,1
0,834,1570,1353076,0,0,1,1
12,839,1570,1353085,0,1,0,1
0,839,1570,1353094,0,0,1,1
0,837,1580,1353103,0,1,0,1
12,843,1580,1353112,0,1,1,0
0,842,1590,1353121,0,0,0,0
0,842,1570,1353130,0,1,1,0
12,849,1590,1353139,0,0,1,1
0,845,1600,1353148,0,1,0,1
0,854,1600,1353157,0,0,1,1
0,840,1600,1353166,0,0,1,1
0,872,1590,1353175,0,1,1,0
0,880,1580,1353184,0,0,0,0
0,882,1580,1353193,0,1,1,0
0,884,1580,1353202,0,0,1,1
0,887,1590,1353211,0,0,1,1
0,891,1580,1353220,0,1,1,0
0,892,1590,1353229,0,0,0,0
0,897,1590,1353238,0,0,1,1
0,896,1590,1353247,0,1,1,0
0,903,1590,1353256,0,0,1,1
0,908,1590,1353265,0,0,1,1
0,901,1590,1353274,0,0,1,1
0,909,1570,1353283,0,0,0,0
0,913,1570,1353292,0,0,1,1
0,906,1580,1353301,0,0,1,1
0,914,1580,1353310,0,1,1,0
0,913,1590,1353319,0,0,1,1
0,912,1600,1353328,0,0,0,0
0,917,1600,1353337,0,0,1,1
0,913,1600,1353346,0,0,1,1
0,916,1600,1353355,0,0,1,1
0,922,1610,1353364,0,0,1,1
0,914,1600,1353373,0,0,1,1
0,920,1610,1353382,0,1,1,0
0,922,1610,1353391,0,0,0,0
0,920,1610,1353400,0,0,1,1
0,924,1610,1353409,0,0,1,1
0,921,1610,1353418,0,0,1,1
0,919,1620,1353427,0,0,1,1
0,924,1610,1353436,0,0,1,1
0,920,1610,1353445,0,0,1,1
0,924,1610,1353454,0,0,0,0
0,932,1610,1353463,0,0,1,1
0,924,1610,1353472,0,0,1,1
0,929,1600,1353481,0,1,1,0
0,932,1600,1353490,0,0,1,1
0,926,1610,1353499,0,0,1,1
0,936,1610,1353508,0,0,0,0
0,932,1610,1353517,0,1,1,0
0,932,1620,1353526,0,0,1,1
0,937,1620,1353535,0,0,1,1
0,936,1620,1353544,0,0,1,1
0,938,1620,1353553,0,0,0,0
0,939,1620,1353562,0,1,1,0
0,933,1620,1353571,0,0,1,1
0,940,1620,1353580,0,0,1,1
0,944,1620,1353589,0,1,0,1
0,937,1620,1353598,0,0,1,1
0,941,1620,1353607,0,0,1,1
0,941,1620,1353616,0,0,1,1
0,941,1610,1353625,0,1,0,1
0,945,1610,1353634,0,0,1,1
0,942,1610,1353643,0,0,1,1
0,945,1620,1353652,0,1,1,0
0,947,1620,1353661,0,0,0,0
0,941,1630,1353670,0,1,1,0
0,947,1630,1353679,0,0,1,1
0,950,1640,1353688,0,1,0,1
0,943,1650,1353697,0,0,1,1
0,948,1650,1353706,0,1,1,0
0,948,1660,1353715,0,0,0,0
0,942,1660,1353724,0,1,1,0
12,950,1650,1353733,0,0,1,1
0,949,1640,1353742,0,1,0,1
0,951,1620,1353751,0,0,1,1
